Category,Ethnicity,Academic Yr,FilteredCountFR,Perc FR
Applicants,International,2019,16522,21.16%
Applicants,Unknown,2019,1959,2.51%
Applicants,White,2019,14360,18.39%
Applicants,Asian,2019,24024,30.76%
Applicants,Chicano/Latino,2019,17526,22.44%
Applicants,American Indian,2019,277,0.35%
Applicants,African American,2019,3425,4.39%
Applicants,All,2019,78093,100.00%
Applicants,International,2018,15507,19.87%
Applicants,Unknown,2018,2208,2.83%
Applicants,White,2018,14797,18.96%
Applicants,Asian,2018,23902,30.63%
Applicants,Chicano/Latino,2018,17741,22.74%
Applicants,American Indian,2018,334,0.43%
Applicants,African American,2018,3535,4.53%
Applicants,All,2018,78024,100.00%
Applicants,International,2017,13926,19.63%
Applicants,Unknown,2017,1824,2.57%
Applicants,White,2017,14399,20.29%
Applicants,Asian,2017,21262,29.97%
Applicants,Chicano/Latino,2017,15972,22.51%
Applicants,American Indian,2017,332,0.47%
Applicants,African American,2017,3240,4.57%
Applicants,All,2017,70955,100.00%
Applicants,International,2016,13536,19.75%
Applicants,Unknown,2016,1865,2.72%
Applicants,White,2016,14295,20.85%
Applicants,Asian,2016,20503,29.91%
Applicants,Chicano/Latino,2016,14876,21.70%
Applicants,American Indian,2016,313,0.46%
Applicants,African American,2016,3162,4.61%
Applicants,All,2016,68550,100.00%
Applicants,International,2015,11240,17.40%
Applicants,Unknown,2015,1880,2.91%
Applicants,White,2015,14005,21.68%
Applicants,Asian,2015,20666,31.99%
Applicants,Chicano/Latino,2015,13675,21.17%
Applicants,American Indian,2015,319,0.49%
Applicants,African American,2015,2817,4.36%
Applicants,All,2015,64602,100.00%
Applicants,International,2014,9413,15.55%
Applicants,Unknown,2014,1575,2.60%
Applicants,White,2014,14061,23.22%
Applicants,Asian,2014,20130,33.25%
Applicants,Chicano/Latino,2014,12438,20.54%
Applicants,American Indian,2014,376,0.62%
Applicants,African American,2014,2550,4.21%
Applicants,All,2014,60543,100.00%
Applicants,International,2013,6699,11.99%
Applicants,Unknown,2013,1630,2.92%
Applicants,White,2013,13989,25.03%
Applicants,Asian,2013,19281,34.50%
Applicants,Chicano/Latino,2013,11529,20.63%
Applicants,American Indian,2013,317,0.57%
Applicants,African American,2013,2449,4.38%
Applicants,All,2013,55894,100.00%
Applicants,International,2012,4138,8.31%
Applicants,Unknown,2012,1317,2.64%
Applicants,White,2012,13242,26.58%
Applicants,Asian,2012,18310,36.75%
Applicants,Chicano/Latino,2012,10216,20.51%
Applicants,American Indian,2012,319,0.64%
Applicants,African American,2012,2278,4.57%
Applicants,All,2012,49820,100.00%
Applicants,International,2011,2066,4.47%
Applicants,Unknown,2011,1125,2.43%
Applicants,White,2011,14010,30.31%
Applicants,Asian,2011,17317,37.47%
Applicants,Chicano/Latino,2011,9363,20.26%
Applicants,American Indian,2011,303,0.66%
Applicants,African American,2011,2031,4.39%
Applicants,All,2011,46215,100.00%
Applicants,International,2010,1634,3.77%
Applicants,Unknown,2010,2356,5.44%
Applicants,White,2010,13533,31.24%
Applicants,Asian,2010,15772,36.41%
Applicants,Chicano/Latino,2010,7746,17.88%
Applicants,American Indian,2010,355,0.82%
Applicants,African American,2010,1917,4.43%
Applicants,All,2010,43313,100.00%
Admits,International,2019,6888,22.69%
Admits,Unknown,2019,842,2.77%
Admits,White,2019,6225,20.51%
Admits,Asian,2019,9717,32.01%
Admits,Chicano/Latino,2019,5604,18.46%
Admits,American Indian,2019,120,0.40%
Admits,African American,2019,962,3.17%
Admits,All,2019,30358,100.00%
Admits,International,2018,8646,26.98%
Admits,Unknown,2018,966,3.01%
Admits,White,2018,6335,19.77%
Admits,Asian,2018,9378,29.26%
Admits,Chicano/Latino,2018,5616,17.52%
Admits,American Indian,2018,134,0.42%
Admits,African American,2018,971,3.03%
Admits,All,2018,32046,100.00%
Admits,International,2017,8295,26.97%
Admits,Unknown,2017,863,2.81%
Admits,White,2017,6417,20.86%
Admits,Asian,2017,8915,28.98%
Admits,Chicano/Latino,2017,5234,17.01%
Admits,American Indian,2017,143,0.46%
Admits,African American,2017,895,2.91%
Admits,All,2017,30762,100.00%
Admits,International,2016,6680,23.05%
Admits,Unknown,2016,911,3.14%
Admits,White,2016,6647,22.94%
Admits,Asian,2016,8847,30.53%
Admits,Chicano/Latino,2016,4902,16.91%
Admits,American Indian,2016,133,0.46%
Admits,African American,2016,861,2.97%
Admits,All,2016,28981,100.00%
Admits,International,2015,5666,23.11%
Admits,Unknown,2015,764,3.12%
Admits,White,2015,5632,22.97%
Admits,Asian,2015,7864,32.07%
Admits,Chicano/Latino,2015,3812,15.55%
Admits,American Indian,2015,123,0.50%
Admits,African American,2015,657,2.68%
Admits,All,2015,24518,100.00%
Admits,International,2014,4210,17.23%
Admits,Unknown,2014,774,3.17%
Admits,White,2014,6196,25.35%
Admits,Asian,2014,8534,34.92%
Admits,Chicano/Latino,2014,3972,16.25%
Admits,American Indian,2014,150,0.61%
Admits,African American,2014,604,2.47%
Admits,All,2014,24440,100.00%
Admits,International,2013,3193,13.84%
Admits,Unknown,2013,809,3.51%
Admits,White,2013,6518,28.26%
Admits,Asian,2013,8275,35.88%
Admits,Chicano/Latino,2013,3555,15.41%
Admits,American Indian,2013,128,0.55%
Admits,African American,2013,587,2.54%
Admits,All,2013,23065,100.00%
Admits,International,2012,2146,9.53%
Admits,Unknown,2012,709,3.15%
Admits,White,2012,6715,29.81%
Admits,Asian,2012,8757,38.88%
Admits,Chicano/Latino,2012,3493,15.51%
Admits,American Indian,2012,122,0.54%
Admits,African American,2012,584,2.59%
Admits,All,2012,22526,100.00%
Admits,International,2011,1477,6.62%
Admits,Unknown,2011,593,2.66%
Admits,White,2011,6803,30.50%
Admits,Asian,2011,8782,39.38%
Admits,Chicano/Latino,2011,3869,17.35%
Admits,American Indian,2011,143,0.64%
Admits,African American,2011,636,2.85%
Admits,All,2011,22303,100.00%
Admits,International,2010,765,3.82%
Admits,Unknown,2010,1186,5.92%
Admits,White,2010,6437,32.12%
Admits,Asian,2010,7621,38.02%
Admits,Chicano/Latino,2010,3298,16.45%
Admits,American Indian,2010,173,0.86%
Admits,African American,2010,563,2.81%
Admits,All,2010,20043,100.00%
Enrollees,International,2019,779,13.08%
Enrollees,Unknown,2019,127,2.13%
Enrollees,White,2019,1230,20.65%
Enrollees,Asian,2019,2125,35.67%
Enrollees,Chicano/Latino,2019,1465,24.59%
Enrollees,American Indian,2019,22,0.37%
Enrollees,African American,2019,209,3.51%
Enrollees,All,2019,5957,100.00%
Enrollees,International,2018,1230,19.24%
Enrollees,Unknown,2018,139,2.17%
Enrollees,White,2018,1231,19.26%
Enrollees,Asian,2018,1995,31.21%
Enrollees,Chicano/Latino,2018,1549,24.23%
Enrollees,American Indian,2018,28,0.44%
Enrollees,African American,2018,221,3.46%
Enrollees,All,2018,6393,100.00%
Enrollees,International,2017,1293,22.03%
Enrollees,Unknown,2017,118,2.01%
Enrollees,White,2017,1168,19.90%
Enrollees,Asian,2017,1660,28.29%
Enrollees,Chicano/Latino,2017,1415,24.11%
Enrollees,American Indian,2017,24,0.41%
Enrollees,African American,2017,190,3.24%
Enrollees,All,2017,5868,100.00%
Enrollees,International,2016,870,15.10%
Enrollees,Unknown,2016,138,2.40%
Enrollees,White,2016,1354,23.50%
Enrollees,Asian,2016,1808,31.38%
Enrollees,Chicano/Latino,2016,1393,24.18%
Enrollees,American Indian,2016,23,0.40%
Enrollees,African American,2016,176,3.05%
Enrollees,All,2016,5762,100.00%
Enrollees,International,2015,952,17.73%
Enrollees,Unknown,2015,140,2.61%
Enrollees,White,2015,1232,22.95%
Enrollees,Asian,2015,1726,32.15%
Enrollees,Chicano/Latino,2015,1120,20.86%
Enrollees,American Indian,2015,29,0.54%
Enrollees,African American,2015,170,3.17%
Enrollees,All,2015,5369,100.00%
Enrollees,International,2014,597,11.10%
Enrollees,Unknown,2014,144,2.68%
Enrollees,White,2014,1324,24.62%
Enrollees,Asian,2014,1964,36.53%
Enrollees,Chicano/Latino,2014,1153,21.44%
Enrollees,American Indian,2014,40,0.74%
Enrollees,African American,2014,155,2.88%
Enrollees,All,2014,5377,100.00%
Enrollees,International,2013,503,9.84%
Enrollees,Unknown,2013,150,2.93%
Enrollees,White,2013,1410,27.58%
Enrollees,Asian,2013,1907,37.30%
Enrollees,Chicano/Latino,2013,959,18.76%
Enrollees,American Indian,2013,36,0.70%
Enrollees,African American,2013,148,2.89%
Enrollees,All,2013,5113,100.00%
Enrollees,International,2012,281,5.40%
Enrollees,Unknown,2012,135,2.59%
Enrollees,White,2012,1530,29.38%
Enrollees,Asian,2012,2163,41.53%
Enrollees,Chicano/Latino,2012,906,17.40%
Enrollees,American Indian,2012,34,0.65%
Enrollees,African American,2012,159,3.05%
Enrollees,All,2012,5208,100.00%
Enrollees,International,2011,185,3.93%
Enrollees,Unknown,2011,89,1.89%
Enrollees,White,2011,1332,28.31%
Enrollees,Asian,2011,2079,44.19%
Enrollees,Chicano/Latino,2011,856,18.19%
Enrollees,American Indian,2011,34,0.72%
Enrollees,African American,2011,130,2.76%
Enrollees,All,2011,4705,100.00%
Enrollees,International,2010,64,1.42%
Enrollees,Unknown,2010,225,5.00%
Enrollees,White,2010,1356,30.13%
Enrollees,Asian,2010,1848,41.06%
Enrollees,Chicano/Latino,2010,821,18.24%
Enrollees,American Indian,2010,45,1.00%
Enrollees,African American,2010,142,3.15%
Enrollees,All,2010,4501,100.00%
