"","support","text","inCA","influential","username","bio"
"1","no","Please join us in the 15th <U+0093>No #Prop16"" Car Rally in  #ChinoHills at 4pm on Sat., Sep. 19th.  Location: 14000 City Center Dr. Chino Hills, CA 91709

Let the flag fly, let our voice roar. Together, we will stop Divisive and Racist #Prop16! For more info:  https://t.co/VdhSRZy1lL. https://t.co/DHkDX5gyJE","no","no","chien_kwok","Parent of public school children. Brooklyn Tech grad. PTA co-President. Education advocate for all students and their families to get best education possible."
"2","yes","Translation: #yesonprop16 is looking to dismantle the US Constitution so they can pass laws that violate the American promise of equality for all. Vote no on #prop16. https://t.co/KIeeD8VhrN","no","no","chien_kwok","Parent of public school children. Brooklyn Tech grad. PTA co-President. Education advocate for all students and their families to get best education possible."
"3","yes","Hey #YesOnProp16 why do you keep lying? You have repeatedly described opposition as <U+0093>Chinese immigrants<U+0094> and people who speak <U+0093>broken English<U+0094>. You think Chinese immigrants are white supremacists carrying tiki torches? Vote no on #prop16. @KamalaHarris anything for a buck, eh? https://t.co/W6qrFPpiQe","no","no","LA_HapaGolfer","Husband, Father, GOLFnut, Journeyman options trader...Ad Astra Per Aspera (A Rough Road Leads to the Stars) cashapp/$hapagolfer <U+26C8> IS COMING..."
"4","no","#StopProp16 #UnityNotDivision, No on #Prop16 @CA4equalrights
https://t.co/BzJlL7JfL6 https://t.co/ONhwy3UgkM","yes","no","stellaliu8","A working mom, US citizen, American Patriot, Defend CA and US greatness"
"5","no","@abc7newsbayarea #StopProp16 #UnityNotDivision, No on #Prop16 @CA4equalrights #NoProp16
https://t.co/rj0HXZzRFC","yes","no","stellaliu8","A working mom, US citizen, American Patriot, Defend CA and US greatness"
"6","no","#StopProp16 #UnityNotDivision, No on #Prop16 @CA4equalrights
https://t.co/BzJlL7JfL6 https://t.co/QSm5ah0z7Z","yes","no","stellaliu8","A working mom, US citizen, American Patriot, Defend CA and US greatness"
"7","no","@GailHeriot @svgop #StopProp16 #UnityNotDivision, No on #Prop16 @CA4equalrights #NoProp16
https://t.co/rj0HXZzRFC","yes","no","stellaliu8","A working mom, US citizen, American Patriot, Defend CA and US greatness"
"8","no","#StopProp16 #UnityNotDivision, No on #Prop16 @CA4equalrights
https://t.co/BzJlL7JfL6 https://t.co/uEsp3TPIFF","yes","no","stellaliu8","A working mom, US citizen, American Patriot, Defend CA and US greatness"
"9","yes","We're many of those youth! And we're voting #YesOnProp16 and getting all of our friends to do so too because we know that #Prop16 addresses systemic racism and makes our schools better places to learn. Every major civil rights group agrees! 
https://t.co/DA9r0yJpCO https://t.co/UM6UMJHcPi","yes","yes","EdEquityLawyer","Community lawyer @publicadvocates. Oakland mama. Proud pin@y. Focus ed equity, racial justice, school finance #WeMakeLCFFWork. Views are my own (she/her)"
"10","no","@sfchronicle @UCBerkeley will have all green light to admit this kid if #Prop16 is passed.

#NoOnProp16 https://t.co/FWcuVT0frj https://t.co/r3Qy5KeGsC","yes","no","lzha0","Keep discrimination illegal. No on Prop. 16. My opinions my own."
"11","no","@AsmJimCooper The most heinous hate crime in 2020 is #Prop16.

#NoOnProp16 and lock @CA_Dem up.","yes","no","lzha0","Keep discrimination illegal. No on Prop. 16. My opinions my own."
"12","no","Please join us in the 15th <U+0093>No #Prop16"" Car Rally in  #ChinoHills at 4pm on Sat., Sep. 19th.  Location: 14000 City Center Dr. Chino Hills, CA 91709

Let the flag fly, let our voice roar. Together, we will stop Divisive and Racist #Prop16! For more info:  https://t.co/VdhSRZy1lL. https://t.co/DHkDX5gyJE","yes","no","lzha0","Keep discrimination illegal. No on Prop. 16. My opinions my own."
"13","yes","@PPICNotes @GavinNewsom @1ruthlessmom @ECalifornians @wu_wenyuan By the way, the #yesonprop16 has more than $10M from a handful mega wealthy donors! And yet, they were still unpopular among voters! Money cannot buy our rights! Shame on anyone attempting to use color and race to divide Americans! We will strike this divisive #Prop16 down! https://t.co/27agZVulPG","yes","no","lzha0","Keep discrimination illegal. No on Prop. 16. My opinions my own."
"14","no","TY @aparnamadireddi for your ongoing support for the #NoOnProp16 campaign. Your voice as a concerned citizen &amp; a candidate help highlight how #Prop16 would affect all of us and that the current K-12 problem will not be addressed with this proposition. Good luck on your campaign. https://t.co/UNh9cizzga","yes","no","lzha0","Keep discrimination illegal. No on Prop. 16. My opinions my own."
"15","no","#Prop16 is a clear and present danger. Time to #HuntForRedNovember since the California Democrats pushed it through when they approved ACA5. #NoOnProp16","yes","no","lzha0","Keep discrimination illegal. No on Prop. 16. My opinions my own."
"16","yes","CCP Cui has transformed himself into CAA Cui #yesonprop16. 

The many hats and faces of CAA<U+0092>s very own Cui. 

Vote no on #prop16. Foreign interference in our elections exploiting race issues is so 2016. https://t.co/RVYcXIn7u6","yes","no","MuratsuchiC","#NoOnProp16 #StopProp16 http://StopProp16.org <U+2694><U+FE0F><U+0001F1FA><U+0001F1F8>"
"17","no","@ConceptualJames The actual name of #Prop16 is <U+0093>Government preferences<U+0094>. #NoOnProp16 #StopProp16 https://t.co/ETmlgshhje","yes","no","MuratsuchiC","#NoOnProp16 #StopProp16 http://StopProp16.org <U+2694><U+FE0F><U+0001F1FA><U+0001F1F8>"
"18","yes","#yesonprop16 is really ramping up their pathetic efforts to try to steal the election with their lies. I guess all the dirty billionaires funding their efforts got mad about throwing millions of dollars at losers like CAA. Vote no on #prop16.  Equal rights are civil rights.","yes","no","MuratsuchiC","#NoOnProp16 #StopProp16 http://StopProp16.org <U+2694><U+FE0F><U+0001F1FA><U+0001F1F8>"
"19","no","<U+0093>Californians deserve a future better than one mired in state-sponsored racialism and inequality.<U+0094> #NoOnProp16 #NoProp16 #Prop16 https://t.co/uDrNHQLbjB","yes","no","MuratsuchiC","#NoOnProp16 #StopProp16 http://StopProp16.org <U+2694><U+FE0F><U+0001F1FA><U+0001F1F8>"
"20","yes","As a life long Democrat, the pathetic attempts by Matt and the other paid liars over at #yesonprop16 to paint us out at fanatical extremists is pathetic. Decent Americans will never favor the discrimination of anyone based on immutable characteristics such as race. No on #prop16. https://t.co/HDu88ZIblc","yes","no","MuratsuchiC","#NoOnProp16 #StopProp16 http://StopProp16.org <U+2694><U+FE0F><U+0001F1FA><U+0001F1F8>"
"21","no","What a terrific lineup of our #NoProp16 car rally speakers!

Looking forward to tomorrow<U+0092>s events at Milpitas (North CA) and Chino Valley (South CA)!

Vote NO On #prop16!

To view them online: https://t.co/ggksIOZHSb https://t.co/AqQaN787xn","yes","no","JerryTg","Ph.D. PE, Educator, Equal Opportunity for All, Say No to Racial Discrimination, Improve K12 Education, Family Value"
"22","no","@sfchronicle @UCBerkeley will have all green light to admit this kid if #Prop16 is passed.

#NoOnProp16 https://t.co/FWcuVT0frj https://t.co/r3Qy5KeGsC","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"23","no","@ConceptualJames The actual name of #Prop16 is <U+0093>Government preferences<U+0094>. #NoOnProp16 #StopProp16 https://t.co/ETmlgshhje","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"24","no","@ConceptualJames ""Allow diversity"" in the title of #Prop16 actually means ""Allow discrimination"". Let's vote #NoOnProp16","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"25","yes","Translation: #yesonprop16 is looking to dismantle the US Constitution so they can pass laws that violate the American promise of equality for all. Vote no on #prop16. https://t.co/KIeeD8VhrN","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"26","yes","@jamisonfoser @mattlehrich Funny you would retweet this, Matt. #yesonprop16 has China State TV <U+0093>journalists<U+0094> working on their campaign. As everything else is with #prop16, this is also suspect and strange. Vote no on #prop16.","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"27","yes","@KamalaHarris When do you and the equity pimps over at #yesonprop16 start lying to voters and telling them that prop 16 is a cure for Covid? You guys lie about it in every other way. Vote no on #prop16. Tell your owner, Quinn Delaney, that her <U+0093>rapper<U+0094> son needs a new line of work. https://t.co/VGcQJsz7a2","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"28","yes","As a life long Democrat, the pathetic attempts by Matt and the other paid liars over at #yesonprop16 to paint us out at fanatical extremists is pathetic. Decent Americans will never favor the discrimination of anyone based on immutable characteristics such as race. No on #prop16. https://t.co/HDu88ZIblc","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"29","yes","This is really important to the race baiters over at #yesonprop16 who have paid CAA for <U+0093>advocacy<U+0094>. #prop16 removes the equal protection language from the state constitution so that they can use RACE as the deciding factor for policy. Vote no on #prop16. https://t.co/xSXBMBJNF6","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"30","yes","Money can<U+0092>t buy you votes. Vote no on #prop16!

#yesonprop16 people are racists, billionaires, corrupt politicians and that asshole <U+2066>@chelseahandler<U+2069>.

California affirmative action measure Prop 16 behind in poll | The Sacramento Bee https://t.co/pfV4JHMqPd","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"31","yes","Hey @LorenaAD80 and the #yesonprop16 race baiting gang-I know today a day you likely don<U+0092>t celebrate given your total and complete disregard for the US Constitution but I along with scores of other Californians who reject your racism are celebrating today. Vote no on #prop16. https://t.co/6nLTzaC2Fh","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"32","yes","@quirkyhandle Yes. Thank you! We just gotta keep the pressure going bc the paid #yesonprop16 are definitely working harder now and tweeting out more lies. #prop16 must fail.","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"33","yes","This is the most telling thing about the #yesonprop16 racists. Infringing on anyone<U+0092>s civil rights is wrong. #prop16 is playing Russian roulette-eventually your luck will run out. Vote no on #prop16. Reject the racists! https://t.co/YJKKKayp3o https://t.co/xLyXAF2JyX","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"34","yes","Hey #YesOnProp16 why do you keep lying? You have repeatedly described opposition as <U+0093>Chinese immigrants<U+0094> and people who speak <U+0093>broken English<U+0094>. You think Chinese immigrants are white supremacists carrying tiki torches? Vote no on #prop16. @KamalaHarris anything for a buck, eh? https://t.co/W6qrFPpiQe","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"35","no","Vote no on #prop16. #stopprop16. Don<U+0092>t be like Poon. https://t.co/aY80NnAJ0V","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"36","yes","CCP Cui has transformed himself into CAA Cui #yesonprop16. 

The many hats and faces of CAA<U+0092>s very own Cui. 

Vote no on #prop16. Foreign interference in our elections exploiting race issues is so 2016. https://t.co/RVYcXIn7u6","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"37","yes","Hey #yesonprop16 liars-read the report. I am not even done yet but is obvious is that you are denying an overwhelming number of qualified students. Why would we allow the UC<U+0092>s to have more discretionary power? Vote no on #prop16. Racist failures. https://t.co/wBBYElR7km","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"38","yes","Laura is very typical of a #yesonprop16 kind of supporter bc she is ok with Asian American kids being discriminated against in the name of <U+0093>racial justice<U+0094> and being <U+0093>anti-racist<U+0094>. She is in fact supporting racism against us. Equal rights are human rights. Vote no on #Prop16 https://t.co/mMP1euApVN","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"39","yes","#yesonprop16 is really ramping up their pathetic efforts to try to steal the election with their lies. I guess all the dirty billionaires funding their efforts got mad about throwing millions of dollars at losers like CAA. Vote no on #prop16.  Equal rights are civil rights.","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"40","yes","@PPICNotes @GavinNewsom @1ruthlessmom @ECalifornians @wu_wenyuan By the way, the #yesonprop16 has more than $10M from a handful mega wealthy donors! And yet, they were still unpopular among voters! Money cannot buy our rights! Shame on anyone attempting to use color and race to divide Americans! We will strike this divisive #Prop16 down! https://t.co/27agZVulPG","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"41","yes","We don<U+0092>t have the big money and paid for endorsements that #yesonprop16 has but what we do have is a network of volunteers &amp; citizens fighting for civil rights and we are on the right side of history. Vote no on #prop16. Reject Racism. https://t.co/tPzISs713J","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"42","no","What a terrific lineup of our #NoProp16 car rally speakers!

Looking forward to tomorrow<U+0092>s events at Milpitas (North CA) and Chino Valley (South CA)!

Vote NO On #prop16!

To view them online: https://t.co/ggksIOZHSb https://t.co/AqQaN787xn","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"43","yes","@DavidChiu As a Chinese American I am very concerned about this. Why are your friends over at CAA #yesonprop16 employing China State TV Reporter, Cui? The top is a pic of Cui reporting for CCP State TV, that<U+0092>s him with his kitten and on the bottom it<U+0092>s him on a #prop16  zoom call. https://t.co/0umn8Z2Hae","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"44","yes","@LorenaSGonzalez you and the #yesonprop16 liars keep blaming Asian Americans. Vote no on #prop16. Racism is wrong. https://t.co/sDgiZSAgFZ","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"45","yes","No shit. Wealthy donors, you say? Like the wealthy donors who are finding #yesonprop16??? Enough w the rich paying to cut to the front of the line. Vote no on #prop16. Merit matters. https://t.co/l8ZtnIEBi4","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"46","yes","@PPICNotes @GavinNewsom @1ruthlessmom @ECalifornians @wu_wenyuan By the way, the #yesonprop16 has more than $10M from a handful mega wealthy donors! And yet, they were still unpopular among voters! Money cannot buy our rights! Shame on anyone attempting to use color and race to divide Americans! We will strike this divisive #Prop16 down! https://t.co/27agZVulPG","no","yes","townerman1","<U+2764><U+FE0F> for all people. Stop reducing people to the color of their skin. Child Abuse Culture as a Consequence of Anti-Racism -https://medium.com/@goodparent"
"47","no","TY @aparnamadireddi for your ongoing support for the #NoOnProp16 campaign. Your voice as a concerned citizen &amp; a candidate help highlight how #Prop16 would affect all of us and that the current K-12 problem will not be addressed with this proposition. Good luck on your campaign. https://t.co/UNh9cizzga","no","yes","townerman1","<U+2764><U+FE0F> for all people. Stop reducing people to the color of their skin. Child Abuse Culture as a Consequence of Anti-Racism -https://medium.com/@goodparent"
"48","no","<U+0093>Californians deserve a future better than one mired in state-sponsored racialism and inequality.<U+0094> #NoOnProp16 #NoProp16 #Prop16 https://t.co/uDrNHQLbjB","no","yes","townerman1","<U+2764><U+FE0F> for all people. Stop reducing people to the color of their skin. Child Abuse Culture as a Consequence of Anti-Racism -https://medium.com/@goodparent"
"49","no","Please join us in the 15th <U+0093>No #Prop16"" Car Rally in  #ChinoHills at 4pm on Sat., Sep. 19th.  Location: 14000 City Center Dr. Chino Hills, CA 91709

Let the flag fly, let our voice roar. Together, we will stop Divisive and Racist #Prop16! For more info:  https://t.co/VdhSRZy1lL. https://t.co/DHkDX5gyJE","no","yes","townerman1","<U+2764><U+FE0F> for all people. Stop reducing people to the color of their skin. Child Abuse Culture as a Consequence of Anti-Racism -https://medium.com/@goodparent"
"50","no","To all my #NoProp16 allies, check this out <U+0001F447>
#Prop16 is discrimination https://t.co/ijz2nIMC0B","no","yes","townerman1","<U+2764><U+FE0F> for all people. Stop reducing people to the color of their skin. Child Abuse Culture as a Consequence of Anti-Racism -https://medium.com/@goodparent"
"51","yes","CCP Cui has transformed himself into CAA Cui #yesonprop16. 

The many hats and faces of CAA<U+0092>s very own Cui. 

Vote no on #prop16. Foreign interference in our elections exploiting race issues is so 2016. https://t.co/RVYcXIn7u6","no","yes","townerman1","<U+2764><U+FE0F> for all people. Stop reducing people to the color of their skin. Child Abuse Culture as a Consequence of Anti-Racism -https://medium.com/@goodparent"
